crossword_id,date,completed,solved,minutes,seconds
127,3/10/25,1,0,21,41
128,3/11/25,1,1,16,32
129,3/12/25,1,1,21,36
130,3/13/25,1,0,65,6
131,3/14/25,1,0,31,28
132,3/15/25,1,0,39,36
133,3/16/25,1,0,85,18
134,3/17/25,1,0,16,16
135,3/18/25,1,1,12,3
136,3/19/25,1,1,21,31
137,3/20/25,1,1,22,24
138,3/21/25,1,1,23,19
139,3/22/25,1,0,56,
140,3/23/25,1,1,62,57
141,3/24/25,1,1,5,12
142,3/25/25,1,1,13,53
143,3/26/25,1,1,15,21
144,3/27/25,1,0,45,1
145,3/28/25,1,1,45,54
146,3/29/25,1,0,38,26
147,3/30/25,1,0,92,2
148,3/31/25,1,1,5,53
149,4/1/25,1,1,25,56
150,4/2/25,1,1,50,12
151,4/3/25,1,1,50,16
152,4/4/25,1,0,44,48
153,4/5/25,1,1,22,32
154,4/6/25,1,1,46,30
155,4/7/25,1,1,6,52
156,4/8/25,1,1,15,52
157,4/9/25,1,1,23,25
158,4/10/25,1,0,36,12
159,4/11/25,1,1,20,0
160,4/12/25,1,0,80,12
161,4/13/25,1,0,107,46
162,4/14/25,1,1,8,6
163,4/15/25,1,1,13,34
164,4/16/25,1,1,43,24
165,4/17/25,1,0,50,45
166,4/18/25,1,1,20,45
167,4/19/25,1,0,58,42
168,4/20/25,1,0,87,25
169,4/21/25,1,1,17,49
170,4/22/25,1,1,24,22
171,4/23/25,1,1,20,39
172,4/24/25,1,0,27,40
173,4/25/25,1,0,47,16
174,4/26/25,1,1,51,18
175,4/27/25,1,0,49,30
176,4/28/25,1,1,6,55
177,4/29/25,1,1,22,33
178,4/30/25,1,1,13,1
179,5/1/25,1,1,20,5
180,5/2/25,1,0,55,3
181,5/3/25,1,0,58,51
182,5/4/25,1,0,69,23
183,5/5/25,1,1,5,5
184,5/6/25,1,1,16,39
185,5/7/25,1,1,10,49
186,5/8/25,1,0,85,8
187,5/9/25,1,1,51,57
188,5/10/25,1,0,59,26
189,5/11/25,1,0,95,4
190,5/12/25,1,1,6,3
191,5/13/25,1,1,12,36
192,5/14/25,1,1,44,15
193,5/15/25,1,1,48,0
194,5/16/25,1,1,39,25
195,5/17/25,1,1,33,17
196,5/18/25,1,0,66,22
197,5/19/25,1,1,11,52
198,5/20/25,1,1,9,50
199,5/21/25,1,1,11,31
200,5/22/25,1,0,52,36
201,5/23/25,1,0,26,20
202,5/24/25,1,0,33,58
203,5/25/25,1,0,103,14
204,5/26/25,1,1,5,45
205,5/27/25,1,0,23,3
206,5/28/25,1,0,29,46
207,5/29/25,1,0,40,1
208,5/30/25,1,0,35,58
209,5/31/25,1,0,38,45
210,6/1/25,1,0,52,44
211,6/2/25,1,1,10,12
212,6/3/25,1,1,13,25
213,6/4/25,1,1,23,35
214,6/5/25,1,1,36,39
215,6/6/25,1,0,83,29
216,6/7/25,1,1,55,50
217,6/8/25,1,0,153,7
218,6/9/25,1,1,6,57
219,6/10/25,1,0,19,45
220,6/11/25,1,1,25,34
221,6/12/25,1,1,14,44
222,6/13/25,1,0,91,2
223,6/14/25,1,0,67,42
224,6/15/25,1,0,68,40
225,6/16/25,1,1,10,46
226,6/17/25,1,1,10,36
227,6/18/25,1,0,41,2
228,6/19/25,1,1,26,43
229,6/20/25,1,1,23,6
230,6/21/25,1,0,38,47
231,6/22/25,1,1,90,26
232,6/23/25,1,1,6,11
233,6/24/25,1,1,19,12
234,6/25/25,1,1,51,16
235,6/26/25,1,0,70,24
236,6/27/25,1,1,22,13
237,6/28/25,1,1,77,0
238,6/29/25,1,1,80,26
239,6/30/25,1,1,13,12
240,7/1/25,1,1,11,32
241,7/2/25,1,1,10,44
242,7/3/25,1,1,29,36
243,7/4/25,1,1,22,14
244,7/5/25,1,1,41,49
245,7/6/25,1,1,77,56
246,7/7/25,1,1,17,20
247,7/8/25,1,1,9,14
248,7/9/25,1,1,22,35
249,7/10/25,1,1,48,8
250,7/11/25,1,1,20,51
251,7/12/25,1,0,88,4
252,7/13/25,1,0,108,56
253,7/14/25,1,1,8,20
254,7/15/25,1,0,22,40
255,7/16/25,1,1,10,20
256,7/17/25,1,0,51,27
257,7/18/25,1,0,47,49
258,7/19/25,1,1,41,4
