pick_id,season_id,pick,round,owner,team
249,3,21,7,David,Skip
250,3,22,8,David,Skip
251,3,23,8,Andrew,Skip
252,3,24,8,Jeff,Skip
253,3,25,9,Jeff,Skip
254,3,26,9,Andrew,Skip
255,3,27,9,David,Skip
256,3,28,10,David,Skip
257,3,29,10,Andrew,Skip
258,3,30,10,Jeff,Skip
259,3,31,11,Jeff,Skip
260,3,32,11,Andrew,Skip
261,3,33,11,David,Skip
262,3,34,12,David,Skip
263,3,35,12,Andrew,Skip
264,3,36,12,Jeff,Skip
265,3,37,13,Jeff,Skip
266,3,38,13,Andrew,Skip
267,3,39,13,David,Skip
268,3,40,14,David,Skip
269,3,41,14,Andrew,Skip
270,3,42,14,Jeff,Tottenham
271,3,43,15,Jeff,Florida Panthers
272,3,44,15,Andrew,Skip
273,3,45,15,David,Dallas Mavericks
274,3,46,16,David,Tampa Bay Lightning
275,3,47,16,Andrew,Los Angeles Clippers
276,3,48,16,Jeff,Skip
277,3,49,17,Jeff,Skip
278,3,50,17,Andrew,Skip
279,3,51,17,David,Pittsburgh Penguins
280,3,52,18,David,Los Angeles Chargers
281,3,53,18,Andrew,Skip
282,3,54,18,Jeff,Skip
283,3,55,19,Jeff,Calgary Flames
284,3,56,19,Andrew,Atlanta Hawks
285,3,57,19,David,Skip
286,3,58,20,David,Skip
287,3,59,20,Andrew,Skip
288,3,60,20,Jeff,Skip
289,3,61,21,Jeff,Skip
290,3,62,21,Andrew,Skip
291,3,63,21,David,Tennessee Titans
292,3,64,22,David,New Orleans Pelicans
293,3,65,22,Andrew,Skip
294,3,66,22,Jeff,Skip
295,3,67,23,Jeff,Winnipeg Jets
296,3,68,23,Andrew,Skip
297,3,69,23,David,Skip
298,3,70,24,David,Cleveland Browns
299,3,71,24,Andrew,Skip
300,3,72,24,Jeff,Skip
301,3,73,25,Jeff,New York Islanders
302,3,74,25,Andrew,Skip
303,3,75,25,David,Skip
304,3,76,26,David,New England Patriots
305,3,77,26,Andrew,Skip
306,3,78,26,Jeff,Green Bay Packers
307,3,79,27,Jeff,Ottawa Senators
308,3,80,27,Andrew,Denver Broncos
309,3,81,27,David,Nashville Predators
310,3,82,28,David,Vancouver Canucks
311,3,83,28,Andrew,West Ham
312,3,84,28,Jeff,Brooklyn Nets
313,3,85,29,Jeff,Detroit Red Wings
314,3,86,29,Andrew,Skip
315,3,87,29,David,Brentford
316,3,88,30,David,Toronto Raptors
317,3,89,30,Andrew,Chicago Bulls
318,3,90,30,Jeff,St. Louis Blues
319,3,91,31,Jeff,Los Angeles Rams
320,3,92,31,Andrew,Skip
321,3,93,31,David,Washington Capitals
322,3,94,32,David,Washington Commanders
323,3,95,32,Andrew,Las Vegas Raiders
324,3,96,32,Jeff,Indianapolis Colts
325,3,97,33,Jeff,Houston Texans
326,3,98,33,Andrew,Skip
327,3,99,33,David,Columbus Blue Jackets
328,3,100,34,David,Utah Jazz
329,3,101,34,Andrew,Skip
330,3,102,34,Jeff,Tampa Bay Buccaneers
331,3,103,35,Jeff,Charlotte Hornets
332,3,104,35,Andrew,Wolves
333,3,105,35,David,Washington Wizards
334,3,106,36,David,Portland Trail Blazers
335,3,107,36,Andrew,Detroit Pistons
336,3,108,36,Jeff,Burnley
337,3,109,37,Jeff,Anaheim Ducks
338,3,110,37,Andrew,Arizona Cardinals
339,3,111,37,David,San Jose Sharks
340,3,112,38,David,Sheffield United
341,3,113,38,Andrew,Luton Town
342,3,114,38,Jeff,Skip
343,4,1,1,Andrew,Buffalo Bills
344,4,2,1,David,Skip
345,4,3,1,Jeff,Skip
346,4,4,2,Jeff,Skip
347,4,5,2,David,Skip
348,4,6,2,Andrew,Skip
349,4,7,3,Andrew,Skip
350,4,8,3,David,Skip
351,4,9,3,Jeff,Skip
352,4,10,4,Jeff,Denver Nuggets
353,4,11,4,David,Skip
354,4,12,4,Andrew,Skip
355,4,13,5,Andrew,Chelsea
356,4,14,5,David,Carolina Hurricanes
357,4,15,5,Jeff,Skip
358,4,16,6,Jeff,Skip
359,4,17,6,David,Skip
360,4,18,6,Andrew,Skip
361,4,19,7,Andrew,Skip
362,4,20,7,David,Skip
363,4,21,7,Jeff,Skip
364,4,22,8,Jeff,Manchester United
365,4,23,8,David,Skip
366,4,24,8,Andrew,Skip
367,4,25,9,Andrew,Skip
368,4,26,9,David,Skip
369,4,27,9,Jeff,Skip
370,4,28,10,Jeff,Skip
371,4,29,10,David,Skip
372,4,30,10,Andrew,Skip
373,4,31,11,Andrew,Skip
374,4,32,11,David,Aston Villa
375,4,33,11,Jeff,Skip
376,4,34,12,Jeff,Vegas Golden Knights
377,4,35,12,David,Skip
378,4,36,12,Andrew,Skip
379,4,37,13,Andrew,Tampa Bay Lightning
380,4,38,13,David,Skip
381,4,39,13,Jeff,Skip
382,4,40,14,Jeff,Los Angeles Kings
383,4,41,14,David,Skip
384,4,42,14,Andrew,Skip
385,4,43,15,Andrew,Skip
386,4,44,15,David,Skip
387,4,45,15,Jeff,Skip
388,4,46,16,Jeff,Skip
389,4,47,16,David,Skip
390,4,48,16,Andrew,Skip
391,4,49,17,Andrew,Skip
392,4,50,17,David,Skip
393,4,51,17,Jeff,Phoenix Suns
394,4,52,18,Jeff,Miami Heat
395,4,53,18,David,Skip
396,4,54,18,Andrew,Skip
397,4,55,19,Andrew,Skip
398,4,56,19,David,Los Angeles Lakers
399,4,57,19,Jeff,Skip
400,4,58,20,Jeff,Chicago Bears
401,4,59,20,David,Skip
402,4,60,20,Andrew,Skip
403,4,61,21,Andrew,Skip
404,4,62,21,David,Skip
405,4,63,21,Jeff,Minnesota Wild
406,4,64,22,Jeff,Golden State Warriors
407,4,65,22,David,Jacksonville Jaguars
408,4,66,22,Andrew,Cleveland Browns
409,4,67,23,Andrew,Atlanta Hawks
410,4,68,23,David,Skip
411,4,69,23,Jeff,Skip
412,4,70,24,Jeff,Pittsburgh Penguins
413,4,71,24,David,New Orleans Saints
414,4,72,24,Andrew,Skip
415,4,73,25,Andrew,Utah Hockey Club
416,4,74,25,David,Pittsburgh Steelers
417,4,75,25,Jeff,Skip
418,4,76,26,Jeff,Skip
419,4,77,26,David,Skip
420,4,78,26,Andrew,Skip
421,4,79,27,Andrew,Skip
422,4,80,27,David,Buffalo Sabres
423,4,81,27,Jeff,Skip
424,4,82,28,Jeff,Brighton
425,4,83,28,David,Seattle Kraken
426,4,84,28,Andrew,Chicago Bulls
427,4,85,29,Andrew,Crystal Palace
428,4,86,29,David,Tennessee Titans
429,4,87,29,Jeff,Skip
430,4,88,30,Jeff,Skip
431,4,89,30,David,Calgary Flames
432,4,90,30,Andrew,Skip
433,4,91,31,Andrew,Washington Capitals
434,4,92,31,David,Chicago Blackhawks
435,4,93,31,Jeff,Skip
436,4,94,32,Jeff,Los Angeles Clippers
437,4,95,32,David,Columbus Blue Jackets
438,4,96,32,Andrew,Skip
439,4,97,33,Andrew,Fulham
440,4,98,33,David,New England Patriots
441,4,99,33,Jeff,Skip
442,4,100,34,Jeff,Montreal Canadiens
443,4,101,34,David,Detroit Pistons
444,4,102,34,Andrew,Everton
445,4,103,35,Andrew,Minnesota Vikings
446,4,104,35,David,New York Giants
447,4,105,35,Jeff,Carolina Panthers
448,4,106,36,Jeff,Toronto Raptors
449,4,107,36,David,Denver Broncos
450,4,108,36,Andrew,Leicester City
451,4,109,37,Andrew,Brooklyn Nets
452,4,110,37,David,Nottingham Forest
453,4,111,37,Jeff,Skip
454,4,112,38,Jeff,Skip
455,4,113,38,David,Ipswich Town
456,4,114,38,Andrew,Southampton
457,5,1,1,David,Manchester City
458,5,2,1,Jeff,Skip
459,5,3,1,Andrew,Skip
460,5,4,2,Andrew,Kansas City Chiefs
461,5,5,2,Jeff,Skip
462,5,6,2,David,Skip
463,5,7,3,David,Skip
464,5,8,3,Jeff,Skip
465,5,9,3,Andrew,Skip
466,5,10,4,Andrew,Skip
467,5,11,4,Jeff,Skip
468,5,12,4,David,Skip
469,5,13,5,David,Skip
470,5,14,5,Jeff,Skip
471,5,15,5,Andrew,Skip
472,5,16,6,Andrew,Skip
473,5,17,6,Jeff,Skip
474,5,18,6,David,Skip
475,5,19,7,David,New Jersey Devils
476,5,20,7,Jeff,Skip
477,5,21,7,Andrew,Skip
478,5,22,8,Andrew,San Francisco 49ers
479,5,23,8,Jeff,Skip
480,5,24,8,David,Skip
481,5,25,9,David,Skip
482,5,26,9,Jeff,Skip
483,5,27,9,Andrew,Skip
484,5,28,10,Andrew,Toronto Maple Leafs
485,5,29,10,Jeff,Skip
486,5,30,10,David,Skip
487,5,31,11,David,Cincinnati Bengals
488,5,32,11,Jeff,Skip
489,5,33,11,Andrew,Skip
490,5,34,12,Andrew,Manchester United
491,5,35,12,Jeff,Skip
492,5,36,12,David,Skip
493,5,37,13,David,Skip
494,5,38,13,Jeff,Skip
495,5,39,13,Andrew,Skip
496,5,40,14,Andrew,Philadelphia 76ers
497,5,41,14,Jeff,Aston Villa
498,5,42,14,David,Skip
499,5,43,15,David,Milwaukee Bucks
500,5,44,15,Jeff,Skip
501,5,45,15,Andrew,Skip
502,5,46,16,Andrew,Skip
503,5,47,16,Jeff,Skip
504,5,48,16,David,Skip
505,5,49,17,David,Dallas Mavericks
506,5,50,17,Jeff,Tottenham
507,5,51,17,Andrew,Skip
508,5,52,18,Andrew,New York Rangers
509,5,53,18,Jeff,Boston Celtics
510,5,54,18,David,Skip
511,5,55,19,David,Arizona Cardinals
512,5,56,19,Jeff,Skip
513,5,57,19,Andrew,Skip
514,5,58,20,Andrew,Utah Mammoth
515,5,59,20,Jeff,Skip
516,5,60,20,David,Skip
517,5,61,21,David,Atlanta Falcons
518,5,62,21,Jeff,Skip
519,5,63,21,Andrew,Jacksonville Jaguars
520,5,64,22,Andrew,Miami Heat
521,5,65,22,Jeff,Pittsburgh Steelers
522,5,66,22,David,Skip
523,5,67,23,David,Skip
524,5,68,23,Jeff,Skip
525,5,69,23,Andrew,Skip
526,5,70,24,Andrew,Bournemouth
527,5,71,24,Jeff,Skip
528,5,72,24,David,Skip
529,5,73,25,David,Vancouver Canucks
530,5,74,25,Jeff,Chicago Bears
531,5,75,25,Andrew,Dallas Cowboys
532,5,76,26,Andrew,Memphis Grizzlies
533,5,77,26,Jeff,Indiana Pacers
534,5,78,26,David,Skip
535,5,79,27,David,Seattle Seahawks
536,5,80,27,Jeff,Skip
537,5,81,27,Andrew,Miami Dolphins
538,5,82,28,Andrew,Charlotte Hornets
539,5,83,28,Jeff,Nashville Predators
540,5,84,28,David,Indianapolis Colts
541,5,85,29,David,Las Vegas Raiders
542,5,86,29,Jeff,Detroit Red Wings
543,5,87,29,Andrew,Crystal Palace
544,5,88,30,Andrew,Portland Trail Blazers
545,5,89,30,Jeff,Skip
546,5,90,30,David,New Orleans Pelicans
547,5,91,31,David,New York Islanders
548,5,92,31,Jeff,Buffalo Sabres
549,5,93,31,Andrew,Fulham
550,5,94,32,Andrew,Philadelphia Flyers
551,5,95,32,Jeff,Skip
552,5,96,32,David,Chicago Bulls
553,5,97,33,David,Utah Jazz
554,5,98,33,Jeff,West Ham
555,5,99,33,Andrew,Brentford
556,5,100,34,Andrew,Washington Wizards
557,5,101,34,Jeff,Boston Bruins
558,5,102,34,David,New York Jets
559,5,103,35,David,Cleveland Browns
560,5,104,35,Jeff,New York Giants
561,5,105,35,Andrew,Wolves
562,5,106,36,Andrew,Sacramento Kings
563,5,107,36,Jeff,Seattle Kraken
564,5,108,36,David,Phoenix Suns
565,5,109,37,David,New Orleans Saints
566,5,110,37,Jeff,Pittsburgh Penguins
567,5,111,37,Andrew,Sunderland
568,5,112,38,Andrew,Leeds United
569,5,113,38,Jeff,Skip
570,5,114,38,David,Burnley
